id;oemName
0;Agrale
1;Aiway
2;Ashok Leyland
3;Aston Martin
4;AvtoZAZ
5;BAIC
6;BJEV
7;BMW
8;Bollore
9;Bordrin
10;Borgward
11;Brilliance Auto
12;BYD
13;Caterham
14;Changan
15;Changfeng
16;CH-AUTO
17;Chery
18;China First Tractor
19;China Motor
20;CHJ
21;CNH Industrial
22;CNHTC
23;CRRC
24;DAF
25;Daihatsu
26;Daimler
27;Deutsche Post DHL Group
28;Dorcen
29;Dyson
30;e.GO
31;Eicher Motors
32;Faraday Future
33;FAW
34;FCA
35;FDG
36;Ferrari
37;FMC
38;Foday
39;FOMM
40;Force Motors
41;Ford
42;Frazer-Nash
43;Fujian Forta
44;Fujian Motor Industry
45;GAC
46;GAZ Group
47;Geely
48;GLM
49;GM
50;Great Wall
51;Green Wheel EV
52;Guilin Bus
53;Guizhou Yuantong
54;Hainan Automobile
55;Hanteng Auto
56;Hawtai
57;Hengtian
58;Hengtong Bus
59;Hero
60;Hino
61;Honda
62;Hozon EV
63;Hubei
64;Hubei Sanhuan
65;Hyundai
66;ICM
67;ICONIQ
68;Iran Khodro
69;Isuzu
70;Jianghuai
71;Jiangling
72;Jihai
73;JLR
74;Joylong
75;Karma Automotive
76;Karsan
77;King Long
78;Leapmotor
79;Lifan
80;Linktour
81;Lucid Motors
82;Mahindra & Mahindra
83;Marcopolo
84;Mazda
85;McLaren
86;Minan Auto
87;Morgan
88;NEVS
89;NEXTEV
90;NIO
91;Nissan
92;Paccar
93;Perodua
94;Piaggio
95;Porsche
96;Premier
97;Proton
98;PSA
99;Qingling
100;Qoros
101;Renault
102;Rivian
103;SAIC
104;SAIPA
105;Shaanxi Auto
106;Shandong Tangjun Ouling
107;Shandong Wuzheng
108;Shanxi Yuhang
109;Shaolin Bus
110;Shuanghuan
111;Shuguang
112;Sichuan Nanjun
113;Sichuan Yema
114;Sichuan Yinhe Machinery
115;Singulato Motors
116;Sinogold
117;Sitech
118;Sollers
119;Soueast
120;Ssangyong
121;Subaru
122;Suda
123;Sunlong Bus
124;Suzuki
125;Tata
126;Tesla
127;Toyota
128;TPEV
129;TUBITAK
130;TVR
131;VinFast
132;Volkswagen
133;Volvo
134;Volvo Trucks
135;Weichai Power
136;WM Motor
137;WZL Motors
138;Xpeng EV
139;Youngman
140;Yulon
141;Zhengzhou Yutong
142;Zhongtong Bus
143;Zhongxing
144;Zotye
145;Cummins
146;John Deere
147;Stellantis
