;years;weightedVolumes;weightedGrossMargin;weightedRevenues;asp;volumes;grossMargin
0;2020;0,0;0,0;0,0;0,0;11230,0;0,0
1;2021;0,0;0,0;0,0;0,0;56153,0;0,0
2;2022;0,0;0,0;0,0;0,0;140383,0;0,0
3;2023;0,0;0,0;0,0;0,0;233970,0;0,0
4;2024;0,0;0,0;0,0;0,0;292457,0;0,0
5;2025;0,0;0,0;0,0;0,0;292447,0;0,0
6;2026;0,0;0,0;0,0;0,0;243714,0;0,0
7;2027;0,0;0,0;0,0;0,0;174083,0;0,0
8;2028;0,0;0,0;0,0;0,0;108800,0;0,0
9;2029;0,0;0,0;0,0;0,0;60442,0;0,0
10;2030;0,0;0,0;0,0;0,0;0,0;0,0
11;2031;0,0;0,0;0,0;0,0;0,0;0,0
12;2032;0,0;0,0;0,0;0,0;0,0;0,0
13;2034;0,0;0,0;0,0;0,0;0,0;0,0
14;2035;0,0;0,0;0,0;0,0;0,0;0,0
15;2036;0,0;0,0;0,0;0,0;0,0;0,0
16;2037;0,0;0,0;0,0;0,0;0,0;0,0
17;2038;0,0;0,0;0,0;0,0;0,0;0,0
18;2039;0,0;0,0;0,0;0,0;0,0;0,0
19;2040;0,0;0,0;0,0;0,0;0,0;0,0
20;2041;0,0;0,0;0,0;0,0;0,0;0,0
21;2042;0,0;0,0;0,0;0,0;0,0;0,0
22;2043;0,0;0,0;0,0;0,0;0,0;0,0
23;2044;0,0;0,0;0,0;0,0;0,0;0,0
24;2045;0,0;0,0;0,0;0,0;0,0;0,0
